positive,neutral,negative
Accessible,Absentminded,Abrasive
Active,Aggressive,Abrupt
Adaptable,Ambitious,Agonizing
Admirable,Amusing,Aimless
Adventurous,Artful,Airy
Agreeable,Ascetic,Aloof
Alert,Authoritarian,Amoral
Allocentric,Big-thinking,Angry
Amiable,Boyish,Anxious
Anticipative,Breezy,Apathetic
Appreciative,Businesslike,Arbitrary
Articulate,Busy,Argumentative
Aspiring,Casual,Arrogantt
Athletic,Crebral,Artificial
Attractive,Chummy,Asocial
Balanced,Circumspect,Assertive
Benevolent,Competitive,Astigmatic
Brilliant,Complex,Barbaric
Calm,Confidential,Bewildered
Capable,Conservative,Bizarre
Captivating,Contradictory,Bland
Caring,Crisp,Blunt
Challenging,Cute,Biosterous
Charismatic,Deceptive,Brittle
Charming,Determined,Brutal
Cheerful,Dominating,Calculating
Clean,Dreamy,Callous
Clear-headed,Driving,Cantakerous
Clever,Droll,Careless
Colorful,Dry,Cautious
Companionly,Earthy,Charmless
Compassionate,Effeminate,Childish
Conciliatory,Emotional,Clumsy
Confident,Enigmatic,Coarse
Conscientious,Experimental,Cold
Considerate,Familial,Colorless
Constant,Folksy,Complacent
Contemplative,Formal,Complaintive
Cooperative,Freewheeling,Compulsive
Courageous,Frugal,Conceited
Courteous,Glamorous,Condemnatory
Creative,Guileless,Conformist
Cultured,High-spirited,Confused
Curious,Huried,Contemptible
Daring,Hypnotic,Conventional
Debonair,Iconoclastic,Cowardly
Decent,Idiosyncratic,Crafty
Decisive,Impassive,Crass
Dedicated,Impersonal,Crazy
Deep,Impressionable,Criminal
Dignified,Intense,Critical
Directed,Invisible,Crude
Disciplined,Irreligious,Cruel
Discreet,Irreverent,Cynical
Dramatic,Maternal,Decadent
Dutiful,Mellow,Deceitful
Dynamic,Modern,Delicate
Earnest,Moralistic,Demanding
Ebullient,Mystical,Dependent
Educated,Neutral,Desperate
Efficient,Noncommittal,Destructive
Elegant,Noncompetitive,Devious
Eloquent,Obedient,Difficult
Empathetic,Old-fashined,Dirty
Energetic,Ordinary,Disconcerting
Enthusiastic,Outspoken,Discontented
Esthetic,Paternalistic,Discouraging
Exciting,Physical,Discourteous
Extraordinary,Placid,Dishonest
Fair,Political,Disloyal
Faithful,Predictable,Disobedient
Farsighted,Preoccupied,Disorderly
Felicific,Private,Disorganized
Firm,Progressive,Disputatious
